question,actual_response,predicted_response,actual_answer,predicted_answer,is_correct
"In Professor Plum's biology class there are 40 students. Of those students, 80 percent have puppies. Of those who have puppies, 25% also have parrots. How many students have both puppies and parrots?","We start with the initial numbers of students, 40 and multiply that by .8 for 40 * 0.8 = <<40*0.8=32>>32 who own puppies.
That the number of students with puppies, 32, and multiply that by .25 to find out how many own both puppies and parrots, 32 * 0.25 = <<32*0.25=8>>8 who own puppies and parrots.
The answer is <<8=8>>8.
#### 8","To find the number of students who have puppies, we multiply the total number of students (40) by the percentage of students with puppies (80% or 0.8).

40 * 0.8 = 32

Now, we need to find the number of students who have both puppies and parrots. We multiply the number of students with puppies (32) by the percentage of students with both puppies and parrots (25% or 0.25).

32 * 0.25 = 8

The answer is 8 students who have both puppies and parrots.",8,8.0,True
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought 15 + 20 = <<15+20=35>>35 apples.
Therefore, they bought 15 + 35 = <<15+35=50>>50 apples altogether.
#### 50","Cecile bought 15 apples. Diane bought 20 more apples than Cecile, so Diane bought 15 + 20 = 35 apples. To find the total number of apples they bought, add 15 (Cecile's apples) and 35 (Diane's apples): 15 + 35 = 50. The answer is 50.",50,50.0,True
"Ann can skate 6 miles an hour. Her friend Glenda can skate 8 miles an hour. If they start in the same place and skate in straight lines in opposite directions for 3 hours, how many miles apart do they end up?","First find how far Glenda goes in 3 hours by multiplying her speed by the number of hours she travels: 3 hours * 8 miles/hour = <<3*8=24>>24 miles
Then do the same thing for Ann: 3 hours * 6 miles/hour = <<3*6=18>>18 miles
Now add the number of miles both people skated to find the total distance between them: 18 miles + 24 miles = <<18+24=42>>42 miles
#### 42","Since Ann skates at 6 miles per hour and Glenda skates at 8 miles per hour, and they skate in opposite directions, we need to add their speeds to find their relative speed.

Relative speed = 6 mph + 8 mph = 14 mph

They skate for 3 hours, so the distance between them will be their relative speed multiplied by the time:

Distance = 14 mph * 3 hours = 42 miles

They end up 42 miles apart.",42,42.0,True
"Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?","When Jonah ran for 2 hours, burning 30 calories every hour, he burnt a total of 2*30=<<2*30=60>>60 calories.
If he had run for five hours, losing 30 calories every hour, Jonah would have burnt 5*30=<<5*30=150>>150 calories.
The difference in the number of calories Jonah would have burnt if he ran for five hours instead of 2 hours is 150-60=<<150-60=90>>90 calories.
#### 90","Jonah burnt 30 calories per hour. If he ran for 2 hours, he lost 30 * 2 = 60 calories. 

If he ran for 5 hours, he would have lost 30 * 5 = 150 calories.

The difference is 150 - 60 = 90 calories. He would have lost 90 more calories if he ran for 5 hours.",90,5.0,False
"The city of Richmond has 1000 more people than Victoria. Victoria has 4 times as many people as Beacon. If Richmond has 3000 people, how many people are there in Beacon?","Victoria has 3000-1000=<<3000-1000=2000>>2000 people.
Beacon has 2000/4=<<2000/4=500>>500 people.
#### 500","Let's start by using the information that Richmond has 3000 people, and it has 1000 more people than Victoria. So, Victoria has 3000 - 1000 = 2000 people.

Since Victoria has 4 times as many people as Beacon, we can divide the number of people in Victoria by 4 to find the number of people in Beacon. 

2000 / 4 = 500

So, there are 500 people in Beacon.",500,500.0,True
"To get his fill of oysters, Crabby has to eat at least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they eat altogether?","If Squido eats 200 oysters, when Crabby eats twice as many oysters as Squido does, he eats 2*200 = 400 oysters.
Together, they eat 400+200 = <<400+200=600>>600 oysters.
#### 600","Since Crabby has to eat at least twice as many oysters as Squido, and Squido eats 200 oysters, Crabby will eat 2 * 200 = 400 oysters.

To find the total number of oysters they eat altogether, add Squido's oysters (200) to Crabby's oysters (400). 
200 + 400 = 600

The answer is 600.",600,600.0,True
John sells 20 woodburning for $15 each.  The wood cost $100.  How much does he make in profit?,"He sells the woodburning for 20*15=$<<20*15=300>>300
So he makes a profit of 300-100=$<<300-100=200>>200
#### 200","To find John's profit, we need to calculate his total revenue and subtract the cost of the wood.

Total revenue: 20 woodburnings * $15 each = 20 * 15 = $300

Cost of wood: $100

Profit = Total revenue - Cost of wood
= $300 - $100
= $200

John makes a profit of $200.",200,200.0,True
"In a field of 500 clovers, 20% have four leaves and one quarter of these are purple clovers. Assuming these proportions are exactly correct, how many clovers in the field are both purple and four-leaved?","There are 500/5= <<500/5=100>>100 four leaf clovers
There are 100/4= <<100/4=25>>25 purple four leaf clovers
#### 25","To find the number of four-leaved clovers, calculate 20% of 500. 
20% of 500 = (20/100) * 500 = 0.2 * 500 = 100 clovers.

Since one quarter of the four-leaved clovers are purple, calculate one quarter of the number of four-leaved clovers.
One quarter of 100 = 100 / 4 = 25 clovers.

So, there are 25 clovers in the field that are both purple and four-leaved.",25,25.0,True
"Tony lifts weights as a form of exercise.  He can lift 90 pounds with one arm in the exercise known as ""the curl.""  In an exercise known as ""the military press,"" he can lift over his head twice the weight that he can curl.  His favorite exercise is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press.  How much weight, in pounds, can Tony lift in the squat exercise?","If Tony can curl 90 pounds, he can military press 2*90=<<90*2=180>>180 pounds.
Therefore, Tony can squat 5*180=<<5*180=900>>900 pounds.
#### 900","To find the weight Tony can lift in the squat exercise, we need to calculate the weight he can lift in each exercise and multiply it by 5.

1. He can curl 90 pounds.
2. In the military press, he can lift twice the weight he can curl, so he can lift 2 * 90 = 180 pounds.
3. In the squat exercise, he can lift 5 times the weight he can lift in the military press, so he can lift 5 * 180 = 900 pounds.

The answer is 900 pounds.",900,900.0,True
"Elsa started the day with 40 marbles.  At breakfast, she lost 3 marbles while playing.  At lunchtime, she gave her best friend Susie 5 marbles.  In the afternoon, Elsa's mom bought her a new bag with 12 marbles.  Susie came back and gave Elsa twice as many marbles as she received at lunch.  How many marbles did Elsa end the day with?","Elsa had 40 marbles - 3 - 5 = <<40-3-5=32>>32 marbles.
Elsa then gained 12 marbles + 32 = <<12+32=44>>44 marbles.
At dinner Elsa received 2 * 5 marbles from Susie = <<2*5=10>>10 marbles.
In total Elsa had 44 marbles + 10 = <<44+10=54>>54 marbles.
#### 54","Let's break it down step by step:

1. Elsa started with 40 marbles.
2. Elsa lost 3 marbles at breakfast, so she had 40 - 3 = 37 marbles.
3. Elsa gave 5 marbles to Susie at lunch, so she had 37 - 5 = 32 marbles.
4. Elsa's mom bought her 12 new marbles, so Elsa now has 32 + 12 = 44 marbles.
5. Susie gave Elsa twice as many marbles as she received (which is 2 * 5 = 10 marbles), so Elsa now has 44 + 10 = 54 marbles.

Elsa ended the day with 54 marbles.",54,54.0,True
John buys thank you cards.  He decides to buy them for people who got him Christmas and birthday presents.  He sent 20 for Christmas gifts and 15 for birthday gifts.  If each card cost $2 how much did he spend on cards?,"He bought 20+15=<<20+15=35>>35 cards
So he spent 35*2=$<<35*2=70>>70
#### 70","To find the total cost of the cards, we need to add the number of cards John bought for Christmas and birthday gifts. 

20 (Christmas cards) + 15 (birthday cards) = 35 cards

Since each card costs $2, the total cost will be:

35 cards * $2 per card = $70

John spent $70 on cards.",70,70.0,True
"In a field where there are 200 animals, there are 40 cows, 56 sheep and goats. How many goats are there?","We have 56 + 40 = <<56+40=96>>96 animals other than goats.
So, we have 200 – 96 = <<200-96=104>>104 goats
#### 104","To find out how many goats there are, we need to subtract the number of cows and sheep from the total number of animals.

Total animals = 200
Cows = 40
Sheep = 56

Number of goats = Total animals - (Cows + Sheep)
= 200 - (40 + 56)
= 200 - 96
= 104

There are 104 goats in the field.",104,104.0,True
"Paul is working at a university. He is part of a big project, which involves 70 scientists in total. Half of them are from Europe and one-fifth are from Canada. The rest are from the USA. How many scientists in this project are from the USA?","Of all the scientists taking part in the project, half of them are from Europe, which means 70 * 0.5 = <<70*0.5=35>>35 people.
The number of researchers from Canada is 70 * 1/5 = <<70*1/5=14>>14 people.
That means there are 70 - 35 - 14 = <<70-35-14=21>>21 researchers from the USA.
#### 21","To find out the number of scientists from the USA, we first need to find the number of scientists from Europe and Canada.

The number of scientists from Europe is half of the total, which is 70 / 2 = 35.

The number of scientists from Canada is one-fifth of the total, which is 70 / 5 = 14.

Now, we add the number of scientists from Europe and Canada: 35 + 14 = 49.

Since the total number of scientists is 70, we subtract the number of scientists from Europe and Canada from the total to find the number of scientists from the USA: 70 - 49 = 21.

The answer is 21.",21,21.0,True
