"Olivia sold clips to 64 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?","Olivia sold clips to 64 of her friends in April, and then she sold half as many clips in May. Olivia sold three times as many in June. How many clips did Olivia sell altogether in April and May?",Olivia sold 64/2 = <<64/2=32>>32 clips in May. Olivia sold 64+32 = <<64+32=96>>96 clips altogether in April and May. #### 96
"Olivia sold clips to 138 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?","Olivia sold clips to 138 of her friends in April, and then she sold half as many clips in May. Olivia sold three times as many in June. How many clips did Olivia sell altogether in April and May?",Olivia sold 138/2 = <<138/2=69>>69 clips in May. Olivia sold 138+69 = <<138+69=207>>207 clips altogether in April and May. #### 207
"Ava sold clips to 178 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?","Ava sold clips to 178 of her friends in April, and then she sold half as many clips in May. Ava sold three times as many in June. How many clips did Ava sell altogether in April and May?",Ava sold 178/2 = <<178/2=89>>89 clips in May. Ava sold 178+89 = <<178+89=267>>267 clips altogether in April and May. #### 267
"Ava sold clips to 66 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?","Ava sold clips to 66 of her friends in April, and then she sold half as many clips in May. Ava sold three times as many in June. How many clips did Ava sell altogether in April and May?",Ava sold 66/2 = <<66/2=33>>33 clips in May. Ava sold 66+33 = <<66+33=99>>99 clips altogether in April and May. #### 99
"Olivia sold clips to 164 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?","Olivia sold clips to 164 of her friends in April, and then she sold half as many clips in May. Olivia sold three times as many in June. How many clips did Olivia sell altogether in April and May?",Olivia sold 164/2 = <<164/2=82>>82 clips in May. Olivia sold 164+82 = <<164+82=246>>246 clips altogether in April and May. #### 246
"Olivia sold clips to 102 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?","Olivia sold clips to 102 of her friends in April, and then she sold half as many clips in May. Olivia sold three times as many in June. How many clips did Olivia sell altogether in April and May?",Olivia sold 102/2 = <<102/2=51>>51 clips in May. Olivia sold 102+51 = <<102+51=153>>153 clips altogether in April and May. #### 153
"Amelia sold clips to 66 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?","Amelia sold clips to 66 of her friends in April, and then she sold half as many clips in May. Amelia sold three times as many in June. How many clips did Amelia sell altogether in April and May?",Amelia sold 66/2 = <<66/2=33>>33 clips in May. Amelia sold 66+33 = <<66+33=99>>99 clips altogether in April and May. #### 99
"Mia sold clips to 62 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?","Mia sold clips to 62 of her friends in April, and then she sold half as many clips in May. Mia sold three times as many in June. How many clips did Mia sell altogether in April and May?",Mia sold 62/2 = <<62/2=31>>31 clips in May. Mia sold 62+31 = <<62+31=93>>93 clips altogether in April and May. #### 93
"Mia sold clips to 160 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?","Mia sold clips to 160 of her friends in April, and then she sold half as many clips in May. Mia sold three times as many in June. How many clips did Mia sell altogether in April and May?",Mia sold 160/2 = <<160/2=80>>80 clips in May. Mia sold 160+80 = <<160+80=240>>240 clips altogether in April and May. #### 240
"Ava sold clips to 62 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?","Ava sold clips to 62 of her friends in April, and then she sold half as many clips in May. Ava sold three times as many in June. How many clips did Ava sell altogether in April and May?",Ava sold 62/2 = <<62/2=31>>31 clips in May. Ava sold 62+31 = <<62+31=93>>93 clips altogether in April and May. #### 93
"Amelia sold clips to 54 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?","Amelia sold clips to 54 of her friends in April, and then she sold half as many clips in May. Amelia sold three times as many in June. How many clips did Amelia sell altogether in April and May?",Amelia sold 54/2 = <<54/2=27>>27 clips in May. Amelia sold 54+27 = <<54+27=81>>81 clips altogether in April and May. #### 81
"Mia sold clips to 58 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?","Mia sold clips to 58 of her friends in April, and then she sold half as many clips in May. Mia sold three times as many in June. How many clips did Mia sell altogether in April and May?",Mia sold 58/2 = <<58/2=29>>29 clips in May. Mia sold 58+29 = <<58+29=87>>87 clips altogether in April and May. #### 87
"Ava sold clips to 172 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?","Ava sold clips to 172 of her friends in April, and then she sold half as many clips in May. Ava sold three times as many in June. How many clips did Ava sell altogether in April and May?",Ava sold 172/2 = <<172/2=86>>86 clips in May. Ava sold 172+86 = <<172+86=258>>258 clips altogether in April and May. #### 258
"Amelia sold clips to 94 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?","Amelia sold clips to 94 of her friends in April, and then she sold half as many clips in May. Amelia sold three times as many in June. How many clips did Amelia sell altogether in April and May?",Amelia sold 94/2 = <<94/2=47>>47 clips in May. Amelia sold 94+47 = <<94+47=141>>141 clips altogether in April and May. #### 141
"Charlotte sold clips to 110 of her friends in April, and then she sold half as many clips in May. How many clips did Charlotte sell altogether in April and May?","Charlotte sold clips to 110 of her friends in April, and then she sold half as many clips in May. Charlotte sold three times as many in June. How many clips did Charlotte sell altogether in April and May?",Charlotte sold 110/2 = <<110/2=55>>55 clips in May. Charlotte sold 110+55 = <<110+55=165>>165 clips altogether in April and May. #### 165
