question,actual_response,predicted_response,actual_answer,predicted_answer,is_correct
"In Professor Plum's biology class there are 40 students. Of those students, 80 percent have puppies. Of those who have puppies, 25% also have parrots. How many students have both puppies and parrots?","We start with the initial numbers of students, 40 and multiply that by .8 for 40 * 0.8 = <<40*0.8=32>>32 who own puppies.
That the number of students with puppies, 32, and multiply that by .25 to find out how many own both puppies and parrots, 32 * 0.25 = <<32*0.25=8>>8 who own puppies and parrots.
The answer is <<8=8>>8.
#### 8","Here's how to solve this problem step-by-step:

**1. Students with Puppies:**

* Multiply the total number of students by the percentage with puppies: 40 students * 80% = 32 students

**2. Students with Both Puppies and Parrots:**

* Multiply the number of students with puppies by the percentage with parrots: 32 students * 25% = 8 students

**Answer:** 8 students have both puppies and parrots. 
",8,8.0,True
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought 15 + 20 = <<15+20=35>>35 apples.
Therefore, they bought 15 + 35 = <<15+35=50>>50 apples altogether.
#### 50","Here's how to solve the problem:

* **Diane's apples:** Diane bought 15 + 20 = 35 apples.
* **Total apples:** Together they bought 15 + 35 = 50 apples.

**Answer:** Diane and Cecile bought a total of 50 apples. 
",50,50.0,True
"Ann can skate 6 miles an hour. Her friend Glenda can skate 8 miles an hour. If they start in the same place and skate in straight lines in opposite directions for 3 hours, how many miles apart do they end up?","First find how far Glenda goes in 3 hours by multiplying her speed by the number of hours she travels: 3 hours * 8 miles/hour = <<3*8=24>>24 miles
Then do the same thing for Ann: 3 hours * 6 miles/hour = <<3*6=18>>18 miles
Now add the number of miles both people skated to find the total distance between them: 18 miles + 24 miles = <<18+24=42>>42 miles
#### 42","Here's how to solve this problem:

**1. Find the distance Anna skates:**

* Anna skates for 3 hours at 6 miles per hour.
* Distance Anna skates = 3 hours * 6 miles/hour = 18 miles

**2. Find the distance Glenda skates:**

* Glenda skates for 3 hours at 8 miles per hour.
* Distance Glenda skates = 3 hours * 8 miles/hour = 24 miles

**3. Find the total distance between them:**

* Total distance = Anna's distance + Glenda's distance
* Total distance = 18 miles + 24 miles = 42 miles

**Answer:** They end up 42 miles apart. 
",42,42.0,True
"Running for 2 hours, Jonah burnt 30 calories every hour. How many more calories would he have lost if he would have run for five hours?","When Jonah ran for 2 hours, burning 30 calories every hour, he burnt a total of 2*30=<<2*30=60>>60 calories.
If he had run for five hours, losing 30 calories every hour, Jonah would have burnt 5*30=<<5*30=150>>150 calories.
The difference in the number of calories Jonah would have burnt if he ran for five hours instead of 2 hours is 150-60=<<150-60=90>>90 calories.
#### 90","Here's how to solve the problem:

* **Calories burned in 2 hours:** Jonah burned 30 calories/hour * 2 hours = 60 calories.
* **Calories burned in 5 hours:** Jonah would have burned 30 calories/hour * 5 hours = 150 calories.
* **Difference:** Jonah would have lost 150 calories - 60 calories = 90 more calories.


**Answer:** Jonah would have lost 90 more calories if he ran for five hours. 
",90,90.0,True
"The city of Richmond has 1000 more people than Victoria. Victoria has 4 times as many people as Beacon. If Richmond has 3000 people, how many people are there in Beacon?","Victoria has 3000-1000=<<3000-1000=2000>>2000 people.
Beacon has 2000/4=<<2000/4=500>>500 people.
#### 500","Here's how to solve this problem step-by-step:

**1. Find the population of Victoria:**

* Richmond has 1000 more people than Victoria, and Richmond has 3000 people.
* So, Victoria has 3000 - 1000 = 2000 people.

**2. Find the population of Beacon:**

* Victoria has 4 times as many people as Beacon.
* So, Beacon has 2000 / 4 = 500 people.

**Answer:** There are 500 people in Beacon. 
",500,500.0,True
"To get his fill of oysters, Crabby has to eat at least twice as many oysters as Squido does. If Squido eats 200 oysters, how many oysters do they eat altogether?","If Squido eats 200 oysters, when Crabby eats twice as many oysters as Squido does, he eats 2*200 = 400 oysters.
Together, they eat 400+200 = <<400+200=600>>600 oysters.
#### 600","Here's how to solve the problem:

* **Crabby's oysters:** Crabby eats twice as many oysters as Squido, so he eats 2 * 200 = 400 oysters.
* **Total oysters:** Together, they eat 200 + 400 = 600 oysters.

**Answer:** Crabby and Squido eat a total of 600 oysters. 
",600,600.0,True
John sells 20 woodburning for $15 each.  The wood cost $100.  How much does he make in profit?,"He sells the woodburning for 20*15=$<<20*15=300>>300
So he makes a profit of 300-100=$<<300-100=200>>200
#### 200","Here's how to calculate John's profit:

**1. Calculate total earnings:**

* He sells 20 woodburning at $15 each, so he earns 20 * $15 = $300.

**2. Calculate total cost:**

* The wood cost $100.

**3. Calculate profit:**

* Profit = Total earnings - Total cost
* Profit = $300 - $100 = $200

**Answer:** John makes a profit of $200. 
",200,200.0,True
"In a field of 500 clovers, 20% have four leaves and one quarter of these are purple clovers. Assuming these proportions are exactly correct, how many clovers in the field are both purple and four-leaved?","There are 500/5= <<500/5=100>>100 four leaf clovers
There are 100/4= <<100/4=25>>25 purple four leaf clovers
#### 25","Here's how to solve this problem step-by-step:

**1. Calculate the number of four-leaved clovers:**

* 20% of 500 clovers = (20/100) * 500 = 100 clovers

**2. Calculate the number of purple four-leaved clovers:**

* One quarter of the four-leaved clovers are purple: (1/4) * 100 = 25 clovers

**Answer:** There are **25** clovers in the field that are both purple and four-leaved. 
",25,25.0,True
"Tony lifts weights as a form of exercise.  He can lift 90 pounds with one arm in the exercise known as ""the curl.""  In an exercise known as ""the military press,"" he can lift over his head twice the weight that he can curl.  His favorite exercise is known as ""the squat"" and he can squat 5 times the weight that he can lift in the military press.  How much weight, in pounds, can Tony lift in the squat exercise?","If Tony can curl 90 pounds, he can military press 2*90=<<90*2=180>>180 pounds.
Therefore, Tony can squat 5*180=<<5*180=900>>900 pounds.
#### 900","Here's how to solve the problem step-by-step:

* **Military Press:** Tony can lift twice the weight of his curl, so he can lift 90 pounds * 2 = 180 pounds in the military press.
* **Squat:** He can squat 5 times the weight of his military press, so he can squat 180 pounds * 5 = 900 pounds in the squat.

**Answer:** Tony can lift 900 pounds in the squat exercise. 
",900,900.0,True
"Elsa started the day with 40 marbles.  At breakfast, she lost 3 marbles while playing.  At lunchtime, she gave her best friend Susie 5 marbles.  In the afternoon, Elsa's mom bought her a new bag with 12 marbles.  Susie came back and gave Elsa twice as many marbles as she received at lunch.  How many marbles did Elsa end the day with?","Elsa had 40 marbles - 3 - 5 = <<40-3-5=32>>32 marbles.
Elsa then gained 12 marbles + 32 = <<12+32=44>>44 marbles.
At dinner Elsa received 2 * 5 marbles from Susie = <<2*5=10>>10 marbles.
In total Elsa had 44 marbles + 10 = <<44+10=54>>54 marbles.
#### 54","Here's how to solve the problem step-by-step:

* **Breakfast:** Elsa lost 3 marbles, leaving her with 40 - 3 = 37 marbles.
* **Lunchtime:** She gave Susie 5 marbles, leaving her with 37 - 5 = 32 marbles.
* **Afternoon:** Her mom bought her 12 more marbles, so she has 32 + 12 = 44 marbles.
* **Susie's Return:** Susie gave Elsa twice the number she received, so she gave Elsa 5 * 2 = 10 marbles.
* **Total:** Elsa ended the day with 44 + 10 = 54 marbles.


**Answer:** Elsa ended the day with 54 marbles. 
",54,54.0,True
John buys thank you cards.  He decides to buy them for people who got him Christmas and birthday presents.  He sent 20 for Christmas gifts and 15 for birthday gifts.  If each card cost $2 how much did he spend on cards?,"He bought 20+15=<<20+15=35>>35 cards
So he spent 35*2=$<<35*2=70>>70
#### 70","Here's how to solve the problem:

* **Total cards:** John bought 20 + 15 = 35 cards.
* **Total cost:** He spent 35 * $2 = $70.

**Answer:** John spent $70 on cards. 
",70,70.0,True
"In a field where there are 200 animals, there are 40 cows, 56 sheep and goats. How many goats are there?","We have 56 + 40 = <<56+40=96>>96 animals other than goats.
So, we have 200 – 96 = <<200-96=104>>104 goats
#### 104","Here's how to solve the problem:

* **Total sheep and goats:** 56 sheep and goats
* **Total cows:** 40 cows
* **Total animals:** 200 animals

**To find the number of goats, we can use the following equation:**

Total animals = Total cows + Total sheep and goats

**Let's plug in the numbers:**

200 = 40 + Total sheep and goats

**Solve for the total sheep and goats:**

200 = 40 + Total sheep and goats
200 - 40 = Total sheep and goats
160 = Total sheep and goats

**Now, we can find the number of goats:**

Total sheep and goats = 56

**Therefore, there are 56 goats.** 
",104,56.0,False
"Paul is working at a university. He is part of a big project, which involves 70 scientists in total. Half of them are from Europe and one-fifth are from Canada. The rest are from the USA. How many scientists in this project are from the USA?","Of all the scientists taking part in the project, half of them are from Europe, which means 70 * 0.5 = <<70*0.5=35>>35 people.
The number of researchers from Canada is 70 * 1/5 = <<70*1/5=14>>14 people.
That means there are 70 - 35 - 14 = <<70-35-14=21>>21 researchers from the USA.
#### 21","Here's how to solve the problem:

* **Scientists from Europe:** Half of the 70 scientists are from Europe, so there are 70 / 2 = 35 scientists from Europe.
* **Scientists from Canada:** One-fifth of the scientists are from Canada, so there are 70 / 5 = 14 scientists from Canada.
* **Total from Europe and Canada:**  There are 35 + 14 = 49 scientists from Europe and Canada.
* **Scientists from the USA:**  The rest are from the USA, so there are 70 - 49 = 21 scientists from the USA.


**Answer:** There are 21 scientists from the USA in the project. 
",21,21.0,True
"Mark is reading books, for 2 hours each day. He decided to increase his time spent on reading books weekly, by 4 hours. How much time does Mark want to spend during one week on reading books?","Currently, Mark is reading books for 2 * 7 = <<2*7=14>>14 hours weekly.
His goal is to read books, for 14 + 4 = <<14+4=18>>18 hours during one week.
#### 18","Here's how to solve the problem:

* **Daily reading time:** Mark reads 2 hours per day.
* **Weekly reading time increase:** He wants to add 4 hours to his daily reading time.
* **Total weekly reading time:**  He'll read 2 hours/day * 7 days/week = 14 hours per week.
* **Total weekly reading time with increase:** 14 hours/week + 4 hours = 18 hours per week.

**Answer:** Mark wants to spend 18 hours on reading books during one week. 
",18,18.0,True
A survey conducted by the school showed that only 20% of the 800 parents agree to a tuition fee increase. How many parents disagree with the tuition fee increase?,"There were 800 x 20/100 = <<800*20/100=160>>160 parents who agreed to the tuition fee increase.
So, there were 800 - 160 = <<800-160=640>>640 parents who disagreed.
#### 640","Here's how to solve the problem:

**1. Find the number of parents who agree:**

* 20% of 800 = (20/100) * 800 = 160 parents

**2. Find the number of parents who disagree:**

* Total parents - Parents who agree = Parents who disagree
* 800 - 160 = 640 parents

**Answer:** 640 parents disagree with the tuition fee increase. 
",640,640.0,True
"In a shop, there is a sale of clothes. Every shirt costs $5, every hat $4, and a pair of jeans $10. How much do you need to pay for three shirts, two pairs of jeans, and four hats?","Three shirts cost 3 * 5 = $<<3*5=15>>15.
Two pairs of jeans would cost 2 * 10 = $<<2*10=20>>20.
Four hats would in total cost 4 * 4 = $<<4*4=16>>16.
So for three shirts, two pairs of jeans, and four hats, you would need to pay 15 + 20 + 16 = $<<15+20+16=51>>51.
#### 51","Here's how to calculate the total cost:

* **Shirts:** 3 shirts * $5/shirt = $15
* **Jeans:** 2 pairs * $10/pair = $20
* **Hats:** 4 hats * $4/hat = $16

**Total cost:** $15 + $20 + $16 = $51

You would need to pay **$51** for the clothes. 
",51,51.0,True
"Titan's father has an onion farm ready for harvest. He borrows Mr. Clay's pickup and transports the harvest to their store, carrying ten bags per trip, prepared for sale. If the onions are in 50 kgs bags, and the pickup makes 20 trips, what's the total weight of onions harvested by Titan's father?","On one trip, the pickup carries 10 bags * 50 kg/bag = <<10*50=500>>500kg of onions
After 20 trips, the total weight of onions transported to the store is 20 trips * 500 kg/trip = <<20*500=10000>>10000 kgs
#### 10000","Here's how to solve the problem:

* **Total bags:** 20 trips * 10 bags/trip = 200 bags
* **Total weight:** 200 bags * 50 kg/bag = 10,000 kg

Titan's father harvested **10,000 kg** of onions. 
",10000,10000.0,True
