question,actual_response,predicted_response,actual_answer,predicted_answer,is_correct
"Olivia sold clips to 64 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?",Olivia sold 64/2 = <<64/2=32>>32 clips in May. Olivia sold 64+32 = <<64+32=96>>96 clips altogether in April and May. #### 96,"Here's how to solve the problem:

* **May sales:** Olivia sold half as many clips in May as in April, so she sold 64 / 2 = 32 clips.
* **Total sales:** In total, Olivia sold 64 + 32 = 96 clips.

**Answer:** Olivia sold a total of 96 clips in April and May. 
",96.0,96.0,True
"Olivia sold clips to 138 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?",Olivia sold 138/2 = <<138/2=69>>69 clips in May. Olivia sold 138+69 = <<138+69=207>>207 clips altogether in April and May. #### 207,"Here's how to solve the problem:

* **May sales:** Olivia sold half as many clips in May as in April, so she sold 138 / 2 = 69 clips in May.
* **Total sales:**  Olivia sold a total of 138 + 69 = 207 clips in April and May.

**Answer:** Olivia sold a total of 207 clips. 
",207.0,207.0,True
"Ava sold clips to 178 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 178/2 = <<178/2=89>>89 clips in May. Ava sold 178+89 = <<178+89=267>>267 clips altogether in April and May. #### 267,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 178 / 2 = 89 clips in May.
* **Total sales:**  Ava sold a total of 178 + 89 = 267 clips in April and May.

**Answer:** Ava sold a total of 267 clips. 
",267.0,267.0,True
"Ava sold clips to 66 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 66/2 = <<66/2=33>>33 clips in May. Ava sold 66+33 = <<66+33=99>>99 clips altogether in April and May. #### 99,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 66 / 2 = 33 clips in May.
* **Total sales:**  Ava sold a total of 66 + 33 = 99 clips in April and May.

**Answer:** Ava sold a total of 99 clips. 
",99.0,99.0,True
"Olivia sold clips to 164 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?",Olivia sold 164/2 = <<164/2=82>>82 clips in May. Olivia sold 164+82 = <<164+82=246>>246 clips altogether in April and May. #### 246,"Here's how to solve the problem:

* **May sales:** Olivia sold half as many clips in May as in April, so she sold 164 / 2 = 82 clips in May.
* **Total sales:** In total, Olivia sold 164 + 82 = 246 clips.

**Answer:** Olivia sold a total of 246 clips in April and May. 
",246.0,246.0,True
"Olivia sold clips to 102 of her friends in April, and then she sold half as many clips in May. How many clips did Olivia sell altogether in April and May?",Olivia sold 102/2 = <<102/2=51>>51 clips in May. Olivia sold 102+51 = <<102+51=153>>153 clips altogether in April and May. #### 153,"Here's how to solve the problem:

* **May sales:** Olivia sold half as many clips in May as in April, so she sold 102 / 2 = 51 clips in May.
* **Total sales:** In total, Olivia sold 102 + 51 = 153 clips.

**Answer:** Olivia sold a total of 153 clips in April and May. 
",153.0,153.0,True
"Amelia sold clips to 66 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?",Amelia sold 66/2 = <<66/2=33>>33 clips in May. Amelia sold 66+33 = <<66+33=99>>99 clips altogether in April and May. #### 99,"Here's how to solve the problem:

* **May sales:** Amelia sold half as many clips in May as she did in April, so she sold 66 / 2 = 33 clips in May.
* **Total sales:**  In total, Amelia sold 66 + 33 = 99 clips.

**Answer:** Amelia sold a total of 99 clips in April and May. 
",99.0,99.0,True
"Mia sold clips to 62 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 62/2 = <<62/2=31>>31 clips in May. Mia sold 62+31 = <<62+31=93>>93 clips altogether in April and May. #### 93,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as she did in April, so she sold 62 / 2 = 31 clips in May.
* **Total sales:** In total, Mia sold 62 + 31 = 93 clips.

**Answer:** Mia sold a total of 93 clips in April and May. 
",93.0,93.0,True
"Mia sold clips to 160 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 160/2 = <<160/2=80>>80 clips in May. Mia sold 160+80 = <<160+80=240>>240 clips altogether in April and May. #### 240,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as in April, so she sold 160 / 2 = 80 clips in May.
* **Total sales:** In total, Mia sold 160 + 80 = 240 clips.

**Answer:** Mia sold a total of 240 clips in April and May. 
",240.0,240.0,True
"Ava sold clips to 62 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 62/2 = <<62/2=31>>31 clips in May. Ava sold 62+31 = <<62+31=93>>93 clips altogether in April and May. #### 93,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 62 / 2 = 31 clips in May.
* **Total sales:**  Ava sold a total of 62 + 31 = 93 clips in April and May.

**Answer:** Ava sold 93 clips altogether. 
",93.0,93.0,True
"Amelia sold clips to 54 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?",Amelia sold 54/2 = <<54/2=27>>27 clips in May. Amelia sold 54+27 = <<54+27=81>>81 clips altogether in April and May. #### 81,"Here's how to solve the problem:

* **May sales:** Amelia sold half as many clips in May as she did in April, so she sold 54 / 2 = 27 clips in May.
* **Total sales:** In total, Amelia sold 54 + 27 = 81 clips.

**Answer:** Amelia sold a total of 81 clips in April and May. 
",81.0,81.0,True
"Mia sold clips to 58 of her friends in April, and then she sold half as many clips in May. How many clips did Mia sell altogether in April and May?",Mia sold 58/2 = <<58/2=29>>29 clips in May. Mia sold 58+29 = <<58+29=87>>87 clips altogether in April and May. #### 87,"Here's how to solve the problem:

* **May sales:** Mia sold half as many clips in May as she did in April, so she sold 58 / 2 = 29 clips in May.
* **Total sales:** In total, Mia sold 58 + 29 = 87 clips.

**Answer:** Mia sold a total of 87 clips in April and May. 
",87.0,87.0,True
"Ava sold clips to 172 of her friends in April, and then she sold half as many clips in May. How many clips did Ava sell altogether in April and May?",Ava sold 172/2 = <<172/2=86>>86 clips in May. Ava sold 172+86 = <<172+86=258>>258 clips altogether in April and May. #### 258,"Here's how to solve the problem:

* **May sales:** Ava sold half as many clips in May as in April, so she sold 172 / 2 = 86 clips in May.
* **Total sales:**  Ava sold a total of 172 + 86 = 258 clips in April and May.

**Answer:** Ava sold a total of 258 clips. 
",258.0,258.0,True
"Amelia sold clips to 94 of her friends in April, and then she sold half as many clips in May. How many clips did Amelia sell altogether in April and May?",Amelia sold 94/2 = <<94/2=47>>47 clips in May. Amelia sold 94+47 = <<94+47=141>>141 clips altogether in April and May. #### 141,"Here's how to solve the problem:

* **May sales:** Amelia sold half as many clips in May as she did in April, so she sold 94 / 2 = 47 clips in May.
* **Total sales:**  In total, Amelia sold 94 + 47 = 141 clips.

**Answer:** Amelia sold a total of 141 clips in April and May. 
",141.0,141.0,True
"Charlotte sold clips to 110 of her friends in April, and then she sold half as many clips in May. How many clips did Charlotte sell altogether in April and May?",Charlotte sold 110/2 = <<110/2=55>>55 clips in May. Charlotte sold 110+55 = <<110+55=165>>165 clips altogether in April and May. #### 165,"Here's how to solve the problem:

* **May sales:** Charlotte sold half as many clips in May as in April, so she sold 110 / 2 = 55 clips in May.
* **Total sales:**  In total, Charlotte sold 110 + 55 = 165 clips.

**Answer:** Charlotte sold a total of 165 clips in April and May. 
",165.0,165.0,True
"Sophia sold clips to 158 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 158/2 = <<158/2=79>>79 clips in May. Sophia sold 158+79 = <<158+79=237>>237 clips altogether in April and May. #### 237,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 158 / 2 = 79 clips in May.
* **Total sales:**  Sophia sold a total of 158 + 79 = 237 clips in April and May.

**Answer:** Sophia sold a total of 237 clips. 
",237.0,237.0,True
"Sophia sold clips to 114 of her friends in April, and then she sold half as many clips in May. How many clips did Sophia sell altogether in April and May?",Sophia sold 114/2 = <<114/2=57>>57 clips in May. Sophia sold 114+57 = <<114+57=171>>171 clips altogether in April and May. #### 171,"Here's how to solve the problem:

* **May sales:** Sophia sold half as many clips in May as in April, so she sold 114 / 2 = 57 clips in May.
* **Total sales:**  Sophia sold a total of 114 + 57 = 171 clips in April and May.

**Answer:** Sophia sold a total of 171 clips. 
",171.0,171.0,True
