"First, we need to find out how many students have puppies. Since 80% of the 40 students have puppies:

\[ 0.8 \times 40 = 32 \]

So, 32 students have puppies.

Next, we need to determine how many of these students also have parrots. Since 25% of the students with puppies also have parrots:

\[ 0.25 \times 32 = 8 \]

Therefore, 8 students have both puppies and parrots. The answer is 8.",8.0
"Cecile bought 15 apples. Diane bought 20 more apples than Cecile, so Diane bought 15 + 20 = 35 apples. Together, Diane and Cecile bought 15 + 35 = 50 apples. The answer is 50.",50.0
"Ann skates at 6 miles per hour for 3 hours, so she travels \(6 \times 3 = 18\) miles. Glenda skates at 8 miles per hour for 3 hours, so she travels \(8 \times 3 = 24\) miles. Since they are skating in opposite directions, the total distance between them is \(18 + 24 = 42\) miles. The answer is 42 miles.",42.0
"Jonah burns 30 calories every hour. If he runs for 2 hours, he burns \(2 \times 30 = 60\) calories.

If he runs for 5 hours, he burns \(5 \times 30 = 150\) calories.

The difference between running for 5 hours and 2 hours is \(150 - 60 = 90\) calories.

So, Jonah would have lost 90 more calories if he ran for five hours.",90.0
"If Richmond has 3000 people and has 1000 more people than Victoria, then Victoria has:

\[ 3000 - 1000 = 2000 \text{ people.} \]

Victoria has 4 times as many people as Beacon, so we can set up the equation for Beacon:

\[ 4 \times \text{Beacon} = 2000. \]

To find the number of people in Beacon, divide both sides of the equation by 4:

\[ \text{Beacon} = \frac{2000}{4} = 500. \]

Thus, there are 500 people in Beacon.",500.0
"Crabby has to eat at least twice as many oysters as Squido. If Squido eats 200 oysters, Crabby needs to eat at least 2 times 200, which is 400 oysters. Therefore, Crabby and Squido eat at least 200 + 400 = 600 oysters altogether. The answer is 600.",600.0
"To calculate John's profit, we need to determine his total revenue and subtract the total cost from it.

1. **Calculate Total Revenue:**
   - John sells 20 woodburnings at $15 each.
   - Total revenue is 20 woodburnings × $15/woodburning = $300.

2. **Calculate Total Cost:**
   - The cost of wood is $100.

3. **Calculate Profit:**
   - Profit = Total Revenue - Total Cost
   - Profit = $300 - $100 = $200.

Therefore, John makes a profit of $200.",200.0
"First, calculate the number of four-leaved clovers. Since 20% of the 500 clovers have four leaves, this means:

\( 0.20 \times 500 = 100 \)

So, there are 100 four-leaved clovers.

Next, determine how many of these four-leaved clovers are purple. Given that one quarter of the four-leaved clovers are purple, this means:

\( \frac{1}{4} \times 100 = 25 \)

Therefore, there are 25 clovers in the field that are both purple and four-leaved. The answer is 25.",25.0
"Tony can lift 90 pounds with one arm in the curl exercise. In the military press, he can lift twice that weight over his head. Therefore, in the military press, he can lift:

\(90 \, \text{pounds} \times 2 = 180 \, \text{pounds}\).

In the squat exercise, Tony can lift 5 times the weight that he can lift in the military press. Therefore, in the squat exercise, he can lift:

\(180 \, \text{pounds} \times 5 = 900 \, \text{pounds}\).

The answer is 900 pounds.",900.0
"Let's break down the sequence of events to find out how many marbles Elsa ended the day with:

1. Elsa started with 40 marbles.
2. She lost 3 marbles at breakfast:
   \[ 40 - 3 = 37 \]

3. She gave 5 marbles to Susie at lunchtime:
   \[ 37 - 5 = 32 \]

4. Her mom bought her a bag with 12 marbles:
   \[ 32 + 12 = 44 \]

5. Susie gave back twice as many marbles as she received (which was 5), so Susie gave back \(2 \times 5 = 10\) marbles:
   \[ 44 + 10 = 54 \]

Therefore, Elsa ended the day with 54 marbles.",54.0
"John bought 20 thank you cards for Christmas gifts and 15 for birthday gifts. In total, he bought 20 + 15 = 35 thank you cards. If each card cost $2, then he spent 35 x $2 = $70 on cards. The answer is $70.",70.0
"To find out how many goats there are, we need to subtract the number of cows and sheep from the total number of animals.

1. We know there are 40 cows and 56 sheep, so the total number of cows and sheep is 40 + 56 = 96.
2. There are 200 animals in total, so the number of goats is 200 - 96 = 104.

Therefore, there are 104 goats in the field.",104.0
"First, let's determine how many scientists are from Europe. Half of the 70 scientists are from Europe:

\[ \text{Scientists from Europe} = \frac{70}{2} = 35 \]

Next, calculate the number of scientists from Canada. One-fifth of the 70 scientists are from Canada:

\[ \text{Scientists from Canada} = \frac{70}{5} = 14 \]

Now, we can find the number of scientists from the USA by subtracting the sum of the scientists from Europe and Canada from the total number of scientists:

\[ \text{Scientists from the USA} = 70 - 35 - 14 = 21 \]

Therefore, there are 21 scientists from the USA in the project.",21.0
"Mark is initially reading for 2 hours each day. Over 7 days, he reads:

2 hours/day * 7 days = 14 hours per week.

He then decides to increase his reading time by 4 hours per week, so the new weekly reading time is:

14 hours + 4 hours = 18 hours.

Therefore, Mark wants to spend 18 hours during one week on reading books.",18.0
"First, we need to find the number of parents who agree with the tuition fee increase. Since 20% of the 800 parents agree, we calculate:

\( \text{Number of parents who agree} = 20\% \times 800 = 0.2 \times 800 = 160 \).

Next, to find the number of parents who disagree, we subtract the number who agree from the total number of parents:

\( \text{Number of parents who disagree} = 800 - 160 = 640 \).

Therefore, 640 parents disagree with the tuition fee increase.",640.0
"To calculate the total cost, you need to add up the prices of all the items you want to buy:

- Three shirts at $5 each: 3 × $5 = $15
- Two pairs of jeans at $10 each: 2 × $10 = $20
- Four hats at $4 each: 4 × $4 = $16

Now, add up all these amounts to get the total cost:

$15 (for shirts) + $20 (for jeans) + $16 (for hats) = $51

So, you need to pay $51 for three shirts, two pairs of jeans, and four hats.",51.0
"To find the total weight of onions harvested, we need to calculate how many bags of onions are transported and the weight of each bag. 

- Titan's father makes 20 trips.
- Each trip carries 10 bags of onions.

So, the total number of bags is:
\[ 20 \, \text{trips} \times 10 \, \text{bags per trip} = 200 \, \text{bags} \]

Each bag weighs 50 kg.

So, the total weight of the onions is:
\[ 200 \, \text{bags} \times 50 \, \text{kg per bag} = 10,000 \, \text{kg} \]

Therefore, the total weight of onions harvested by Titan's father is 10,000 kg.",10000.0
"To find the combined population of New York and New England, we start by calculating the population of New York.

New York is two-thirds as populated as New England. Therefore, the population of New York is:

\[
\text{New York population} = \frac{2}{3} \times 2,100,000 = 1,400,000
\]

Now, we calculate the combined population of New York and New England:

\[
\text{Combined population} = 2,100,000 + 1,400,000 = 3,500,000
\]

The combined population of New York and New England is 3,500,000 people.",3500000.0
"To determine how many marbles Miriam started with, let’s analyze the situation:

1. Miriam currently has 30 marbles.
2. She gave her brother 60 marbles.
3. She gave her sister twice that amount, which is 2 * 60 = 120 marbles.
4. She gave her friend Savanna three times the amount she currently has, which is 3 * 30 = 90 marbles.

Now, let's add it all up:

- Current marbles: 30
- Brother: 60
- Sister: 120
- Savanna: 90

The total number of marbles Miriam originally had is the sum of all these quantities:

30 (current) + 60 (brother) + 120 (sister) + 90 (Savanna) = 300 marbles.

Therefore, Miriam started with 300 marbles.",300.0
"Lisa uses 30 pieces of pepperoni. She uses twice as many pieces of ham, which means she uses:

\(2 \times 30 = 60\) pieces of ham.

She also uses 12 more pieces of sausage than pepperoni, which means she uses:

\(30 + 12 = 42\) pieces of sausage.

To find the total number of pieces of meat, add them all together:

\(30 \, (\text{pepperoni}) + 60 \, (\text{ham}) + 42 \, (\text{sausage}) = 132\) pieces of meat.

The pizza is then divided into 6 slices, so each slice has:

\(\frac{132 \, (\text{total pieces of meat})}{6 \, (\text{slices})} = 22\) pieces of meat.

Therefore, there are 22 pieces of meat on each slice.",22.0
"Let's define the variables based on the information given:

- Let \( x \) be the age of Markus's grandson.
- Markus's son is twice the age of his grandson, so his son's age is \( 2x \).
- Markus is twice the age of his son, so Markus's age is \( 2 \times 2x = 4x \).

The sum of their ages is 140, so we can write the equation:

\[ x + 2x + 4x = 140 \]

Simplifying the equation:

\[ 7x = 140 \]

Now, solve for \( x \):

\[ x = \frac{140}{7} = 20 \]

Therefore, Markus's grandson is 20 years old.",20.0
"To solve this, we need to determine how the amounts of sugar, cream cheese, vanilla, and eggs relate to each other.

1. The sugar to cream cheese ratio is 1:4. If Betty used 2 cups of sugar, then she must have used \( 2 \times 4 = 8 \) cups of cream cheese.

2. Betty uses one teaspoon of vanilla for every two cups of cream cheese. Since she used 8 cups of cream cheese, she must have used \( 8 \div 2 = 4 \) teaspoons of vanilla.

3. For every one teaspoon of vanilla, she uses two eggs. Therefore, for 4 teaspoons of vanilla, she used \( 4 \times 2 = 8 \) eggs.

So, Betty used 8 eggs in her latest cheesecake.",8.0
"To find out how many bouquets the florist can make using all the flowers, we first need to determine the total number of flowers. 

1. Calculate the total number of flowers:
   - Narcissus: 75 flowers
   - Chrysanthemums: 90 flowers
   - Total flowers = 75 + 90 = 165 flowers

2. Each bouquet consists of 5 flowers. To find out how many bouquets can be made, divide the total number of flowers by the number of flowers per bouquet:
   - Number of bouquets = Total flowers ÷ Flowers per bouquet
   - Number of bouquets = 165 ÷ 5 = 33 bouquets

The florist can make 33 bouquets containing 5 flowers each.",5.0
"Let's calculate the amount of sugar Paul used for the cake each week:

1. First week: 24 cups of sugar.
2. Second week: Half of 24 cups = 24 / 2 = 12 cups of sugar.
3. Third week: Half of 12 cups = 12 / 2 = 6 cups of sugar.
4. Fourth week: Half of 6 cups = 6 / 2 = 3 cups of sugar.

So, Paul used 3 cups of sugar for the cake on the fourth week. The answer is 3.",3.0
"To solve this, we need to find the current ages of Alex and Allison.

1. **Diane's Future Age**: When Diane turns 30, she will be half the age of Alex and twice the age of Allison.

2. **Alex's Age Equation**: Let Alex's age when Diane is 30 be \(A\). Since Diane will be half Alex's age, we have:
   \[
   30 = \frac{1}{2}A \implies A = 60
   \]

3. **Allison's Age Equation**: Let Allison's age when Diane is 30 be \(B\). Since Diane will be twice Allison's age, we have:
   \[
   30 = 2B \implies B = 15
   \]

4. **Current Ages**:
   - Diane is currently 16.
   - In 14 years (when Diane is 30), Alex will be 60, and Allison will be 15.

   - So, Alex's current age is \(60 - 14 = 46\).
   - Allison's current age is \(15 - 14 = 1\).

5. **Sum of Current Ages of Alex and Allison**:
   \[
   46 + 1 = 47
   \]

Therefore, the sum of the ages of Alex and Allison now is 47.",47.0
"In the first year, Adam teaches 40 students. For the remaining 9 years, he teaches 50 students each year. To find out how many students Adam teaches in 10 years, calculate as follows:

1. Students in the first year: 40 students
2. Students in the next 9 years: 9 years × 50 students/year = 450 students

Total students over 10 years is 40 + 450 = 490 students.

The answer is 490.",490.0
"Let's break down the number of toy cars each family member gave to Olaf:

1. Uncle's gift: Let's denote the number of toy cars the Uncle gave as \( x \).
2. Grandpa's gift: Grandpa gave twice as many toy cars as the Uncle, so he gave \( 2x \).
3. Mum's gift: Mum gave 5 more toy cars than Dad. Dad gave 10 cars, so Mum gave \( 10 + 5 = 15 \) cars.
4. Auntie's gift: Auntie gave 1 more toy car than the Uncle, so she gave \( x + 1 \).

Auntie gave 6 toy cars, which means:
\[ x + 1 = 6 \]
\[ x = 5 \]

Now we can determine the number of toy cars each family member gave:
- Uncle: 5 cars
- Grandpa: \( 2 \times 5 = 10 \) cars
- Mum: 15 cars
- Dad: 10 cars
- Auntie: 6 cars

Now we add up all the toy cars Olaf received:
\[ 5 + 10 + 15 + 10 + 6 = 46 \]

Olaf initially had 150 toy cars. After receiving the gifts, he now has:
\[ 150 + 46 = 196 \]

Therefore, Olaf has a total of 196 toy cars.",196.0
"Each tub of lip gloss holds 2 tubes, and Marcy is bringing 6 tubs, so she has:

6 tubs × 2 tubes per tub = 12 tubes of lip gloss.

Since each tube can provide enough lip gloss for 3 people, Marcy can do makeup for:

12 tubes × 3 people per tube = 36 people.

Therefore, Marcy is doing the makeup for 36 people.",36.0
"Tony starts with 2 fish. Each year, he gains 2 new fish but loses 1 due to death. 

So, the net gain of fish each year is 2 - 1 = 1 fish. 

Over 5 years, Tony will gain 5 × 1 = 5 additional fish.

Therefore, the total number of fish Tony will have after five years is 2 (initial fish) + 5 (additional fish) = 7 fish. 

The answer is 7.",7.0
"Nick sold 20 chocolate oranges at $10 each, so he made 20 × $10 = $200 from chocolate oranges. He wants to raise a total of $1000. Therefore, he still needs to raise $1000 - $200 = $800 from candy bars. Since each candy bar sells for $5, Nick needs to sell $800 ÷ $5 = 160 candy bars to reach his goal.",160.0
